food_galmat_1.9.BaconExplosion,hasMainIngredients,food_galmat_1.9.Sausage,-0.732,None
food_galmat_1.9.BaconExplosion,hasMainIngredients,food_galmat_1.9.Bacon,-0.732,None
food_galmat_1.9.BaconExplosion,isEatenInRegion,food_galmat_1.9.KansasCityMetropolitanArea,-0.732,None
food_galmat_1.9.BaconExplosion,course,food_galmat_1.9.MainCourse,-0.732,None
food_galmat_1.9.BaconExplosion,hasIngredient,food_galmat_1.9.Sausage,-0.732,None
food_galmat_1.9.BaconExplosion,hasIngredient,food_galmat_1.9.Bacon,-0.732,None
food_galmat_1.9.BaconExplosion,isEatenInCountry,.food_galmat_1.9.UnitedStates,-0.732,-0.268
food_galmat_1.9.BarnyCakes,hasIngredient,food_galmat_1.9.SpongeCake,0.12,None
food_galmat_1.9.BarnyCakes,isCreatedBy,food_galmat_1.9.MondelezInternational,0.12,None
food_galmat_1.9.BarnyCakes,hasDishVariation,food_galmat_1.9.Apple,0.12,None
food_galmat_1.9.BarnyCakes,hasDishVariation,food_galmat_1.9.Chocolate,0.12,None
food_galmat_1.9.BarnyCakes,isEatenInCountry,food_galmat_1.9.France,0.12,-2
food_galmat_1.9.UnitedStates,hasLanguage,food_galmat_1.9.EnglishLanguage,-0.268,None
food_galmat_1.9.UnitedStates,hasCapital,food_galmat_1.9.WashingtonD.C.,-0.268,None
food_galmat_1.9.UnitedStates,hasLeaderName,food_galmat_1.9.joeBiden,-0.268,None
food_galmat_1.9.UnitedStates,hasLeaderName,food_galmat_1.9.JohnRoberts,-0.268,None
food_galmat_1.9.UnitedStates,hasLeaderName,food_galmat_1.9.PaulRyan,-0.268,None
food_galmat_1.9.UnitedStates,hasLeaderName,food_galmat_1.9.BarackObama,-0.268,None
food_galmat_1.9.Bhajji,course,food_galmat_1.9.MainCourse,-0.571,None
food_galmat_1.9.AsamPedas,course,food_galmat_1.9.MainCourse,0.118,None
food_galmat_1.9.Bakso,hasIngredient,food_galmat_1.9.Noodle,0.3,None
